,Date,Ticker,Open,Close,High,Low,Volatility_Ann,Max_Drawdown
16,2026-01-06 20:00:03,ENGI.PA,22.96,23.27,23.48,22.91,1.12%,-2.43%
15,2026-01-05 20:00:02,ENGI.PA,22.98,22.9,23.04,22.6,1.12%,-1.91%
14,2026-01-04 20:00:04,ENGI.PA,22.41,22.97,22.98,22.26,1.11%,-3.13%
13,2026-01-03 20:00:03,ENGI.PA,22.41,22.97,22.98,22.26,1.11%,-3.13%
12,2026-01-02 20:00:03,ENGI.PA,22.41,22.97,22.98,22.26,1.11%,-3.13%
11,2026-01-01 20:00:03,ENGI.PA,22.43,22.41,22.44,22.32,1.11%,-0.53%
10,2025-12-31 20:00:02,ENGI.PA,22.43,22.41,22.44,22.32,1.11%,-0.53%
9,2025-12-30 20:00:03,ENGI.PA,22.3,22.41,22.44,22.25,1.11%,-0.85%
8,2025-12-29 20:00:03,ENGI.PA,22.19,22.3,22.39,22.12,1.11%,-1.21%
7,2025-12-28 20:00:02,ENGI.PA,22.25,22.16,22.34,22.16,1.11%,-0.81%
6,2025-12-27 20:00:02,ENGI.PA,22.25,22.16,22.34,22.16,1.11%,-0.81%
5,2025-12-26 20:00:02,ENGI.PA,22.25,22.16,22.34,22.16,1.11%,-0.81%
4,2025-12-26 14:58:10,ENGI.PA,22.25,22.16,22.34,22.16,1.11%,-0.81%
3,2025-12-26 14:51:22,ENGI.PA,22.25,22.16,22.34,22.16,17.62%,-0.81%
2,2025-12-25 20:00:03,ENGI.PA,22.25,22.16,22.34,22.16,17.62%,-13.31%
1,2025-12-24 20:00:02,ENGI.PA,22.25,22.16,22.34,22.16,17.62%,-13.31%
0,2025-12-23 22:14:04,ENGI.PA,22.18,22.24,22.24,22.04,17.62%,-13.31%
